villanova,purdue,1
villanova,texas tech,1
villanova,wichita st,1
villanova,west virginia,1
villanova,florida,1
villanova,arkansas,1
villanova,virginia tech,1
villanova,alabama,1
villanova,butler,1
villanova,st bonaventure,1
villanova,ucla,1
villanova,murray st,1
villanova,marshall,1
villanova,sf austin,1
villanova,cal st. fullerton,1
villanova,liu brooklyn,1
villanova,radford,1
villanova,kansas,1
villanova,duke,0
villanova,michigan st,1
villanova,auburn,1
villanova,clemson,1
villanova,tcu,1
villanova,rhode island,1
villanova,seton hall,1
villanova,n.c. state,1
villanova,oklahoma,1
villanova,arizona st,1
villanova,syracuse,1
villanova,new mexico st,1
villanova,charleston,1
villanova,bucknell,1
villanova,iona,1
villanova,penn,1
villanova,virginia,1
villanova,cincinnati,1
villanova,tennessee,1
villanova,arizona,1
villanova,kentucky,1
villanova,miami - florida,1
villanova,nevada,1
villanova,creighton,1
villanova,kansas st,1
villanova,texas,1
villanova,loyola (il),1
villanova,davidson,1
villanova,buffalo,1
villanova,wright st,1
villanova,georgia st,1
villanova,maryland-baltimore county,1
villanova,xavier,1
villanova,north carolina,1
villanova,michigan,1
villanova,gonzaga,1
villanova,ohio st,1
villanova,houston,1
villanova,texas a&m,1
villanova,missouri,1
villanova,florida st,1
villanova,providence,1
villanova,san diego st,1
villanova,s dakota st,1
villanova,nc greensboro,1
villanova,montana,1
villanova,lipscomb,1
villanova,n.c. central,1
villanova,texas southern,1
purdue,texas tech,0
purdue,wichita st,1
purdue,west virginia,1
purdue,florida,0
purdue,arkansas,1
purdue,virginia tech,1
purdue,alabama,1
purdue,butler,1
purdue,st bonaventure,0
purdue,ucla,1
purdue,murray st,1
purdue,marshall,1
purdue,sf austin,1
purdue,cal st. fullerton,1
purdue,liu brooklyn,1
purdue,radford,1
purdue,kansas,1
purdue,duke,1
purdue,michigan st,0
purdue,auburn,1
purdue,clemson,0
purdue,tcu,1
purdue,rhode island,1
purdue,seton hall,1
purdue,n.c. state,1
purdue,oklahoma,1
purdue,arizona st,1
purdue,syracuse,1
purdue,new mexico st,1
purdue,charleston,1
purdue,bucknell,1
purdue,iona,1
purdue,penn,1
purdue,virginia,0
purdue,cincinnati,1
purdue,tennessee,1
purdue,arizona,1
purdue,kentucky,1
purdue,miami - florida,1
purdue,nevada,1
purdue,creighton,1
purdue,kansas st,1
purdue,texas,1
purdue,loyola (il),1
purdue,davidson,1
purdue,buffalo,1
purdue,wright st,1
purdue,georgia st,1
purdue,maryland-baltimore county,1
purdue,xavier,1
purdue,north carolina,1
purdue,michigan,1
purdue,gonzaga,0
purdue,ohio st,0
purdue,houston,0
purdue,texas a&m,1
purdue,missouri,1
purdue,florida st,1
purdue,providence,1
purdue,san diego st,1
purdue,s dakota st,1
purdue,nc greensboro,1
purdue,montana,1
purdue,lipscomb,1
purdue,n.c. central,1
purdue,texas southern,1
texas tech,wichita st,1
texas tech,west virginia,0
texas tech,florida,1
texas tech,arkansas,1
texas tech,virginia tech,0
texas tech,alabama,1
texas tech,butler,0
texas tech,st bonaventure,1
texas tech,ucla,1
texas tech,murray st,1
texas tech,marshall,1
texas tech,sf austin,1
texas tech,cal st. fullerton,1
texas tech,liu brooklyn,1
texas tech,radford,1
texas tech,kansas,1
texas tech,duke,0
texas tech,michigan st,0
texas tech,auburn,0
texas tech,clemson,0
texas tech,tcu,1
texas tech,rhode island,1
texas tech,seton hall,1
texas tech,n.c. state,1
texas tech,oklahoma,1
texas tech,arizona st,1
texas tech,syracuse,0
texas tech,new mexico st,1
texas tech,charleston,1
texas tech,bucknell,1
texas tech,iona,1
texas tech,penn,1
texas tech,virginia,0
texas tech,cincinnati,0
texas tech,tennessee,0
texas tech,arizona,1
texas tech,kentucky,1
texas tech,miami - florida,1
