Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1193,1233,+3.0,102.4,106.6,110.2,107.4,1
1193,1346,-6.0,102.4,106.6,102.1,112.4,0
1193,1351,+1.0,102.4,106.6,109.3,106.8,0
1193,1310,-3.0,102.4,106.6,110.6,114.1,1
1193,1265,-5.5,102.4,106.6,98.8,113.2,0
1193,1264,-6.0,102.4,106.6,99.6,104.5,0
1193,1233,-5.5,102.4,106.6,110.2,107.4,0
1193,1351,-5.5,102.4,106.6,109.3,106.8,0
1193,1460,-4.5,102.4,106.6,101.0,98.2,0
1193,1205,-4.5,102.4,106.6,97.8,106.4,1
1193,1239,-8.5,102.4,106.6,94.4,108.7,0
1193,1345,-23.5,102.4,106.6,123.2,96.6,0
1193,1335,+3.5,102.4,106.6,103.5,99.8,1
1193,1264,-2.5,102.4,106.6,99.6,104.5,0
1193,1389,-2.5,102.4,106.6,95.9,100.8,1
1193,1330,+7.5,102.4,106.6,108.7,97.4,0
1193,1222,-15.5,102.4,106.6,115.8,95.2,0
1193,1284,-2.0,102.4,106.6,103.9,105.0,1
1193,1373,-4.0,102.4,106.6,96.8,109.0,1
1193,1346,-6.5,102.4,106.6,102.1,112.4,1
1193,1265,-10.0,102.4,106.6,98.8,113.2,1
1193,1145,-6.5,102.4,106.6,107.8,104.3,0
1193,1310,-3.0,102.4,106.6,110.6,114.1,0
1193,1373,-9.0,102.4,106.6,96.8,109.0,1
1193,1284,-2.5,102.4,106.6,103.9,105.0,1
1193,1233,-2.5,102.4,106.6,110.2,107.4,0
1193,1346,-3.5,102.4,106.6,102.1,112.4,1
1193,1310,-1.5,102.4,106.6,110.6,114.1,1
1193,1265,-8.0,102.4,106.6,98.8,113.2,1
